ISELL_ORDER_NUMBER	PICK_ID	ARTNO   	ARTNAME_UNICODE                                   	ART_VOLUME_M3	ORDERED_QTY	PICKED_QTY	OPEN_PICK_QTY	AVAILABLE_STOCK	POSSIBLE_TO_FINISH	ORDER_TYPE 	DATE_OF_PAYMENT	TIME_OF_PAYMENT	EXCEPTION	PICK_AREA          	ACTUAL_ORDER_STATUS	STORAGE_STATUS	STORAGE_USED	HANDOVER_POINT	CUT_OFF_DATE	CUT_OFF_TIME	USER_PICKING	SERVICE_DATE	SERVICE_WINDOW	ORDER_METHOD	PICK_LOCATION	PICK_LOCATION_TYPE	DELIVERY_METHOD                  
1352290442        	60262  	90440764	UPPSNOFSAD stor box 35x25x14 cm/9 l black         	0.002352     	2          	0         	2            	185            	YES               	Collect    	2023-04-12     	08:50:22       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M18L07       	                  	Pick Up at Store                 
1352290442        	60262  	90466155	GLIS box with lid 17x10 yellow/blue 3-p           	0.002729     	2          	0         	2            	29             	YES               	Collect    	2023-04-12     	08:50:22       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	S09P14       	                  	Pick Up at Store                 
1352290339        	60263  	10365419	FEJKA art plant 26x26 wll mount/in/out green      	0.001423     	40         	0         	40           	2996           	YES               	Collect    	2023-04-12     	08:51:12       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M16R04       	                  	Pick Up at Store                 
1352290339        	60263  	60400000	SKUBB stor case 93x55x19 dark grey                	0.008006     	9          	0         	9            	154            	YES               	Collect    	2023-04-12     	08:51:12       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M18H08       	                  	Pick Up at Store                 
1352290339        	60264  	30479740	LYCKSELE cvr f sb2 Knisa light grey GB            	0.028717     	1          	0         	1            	4              	YES               	Collect    	2023-04-12     	08:51:12       	         	Self Serve         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	040410       	                  	Pick Up at Store                 
1352290339        	60264  	30483148	LYCKSELE cvr f chr-bed Vansbro dark grey GB       	0.033773     	2          	0         	2            	2              	YES               	Collect    	2023-04-12     	08:51:12       	         	Self Serve         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	040610       	                  	Pick Up at Store                 
1352290968        	60265  	40525685	ISTAD N resealable bag patterned/green 30-p       	0.001446     	1          	0         	1            	1605           	YES               	Collect    	2023-04-12     	08:55:09       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M14G19       	                  	Pick Up at Store                 
1352290968        	60265  	50525642	ISTAD resealable bag patterned/black yellow 60-p  	0.000956     	1          	0         	1            	5957           	YES               	Collect    	2023-04-12     	08:55:09       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M14F20       	                  	Pick Up at Store                 
1352290968        	60265  	60348125	RABBLA box w lid 25x35x20                         	0.002801     	3          	0         	3            	405            	YES               	Collect    	2023-04-12     	08:55:09       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M18H09       	                  	Pick Up at Store                 
1352290968        	60265  	90435102	DRÖNA box 33x38x33 white/black patterned          	0.002462     	2          	0         	2            	733            	YES               	Collect    	2023-04-12     	08:55:09       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M18H02       	                  	Pick Up at Store                 
1352290968        	60266  	20275814	KALLAX shelving unit 77x77 white                  	0.061861     	1          	0         	1            	379            	YES               	Collect    	2023-04-12     	08:55:09       	         	Self Serve         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	000200       	                  	Pick Up at Store                 
1352290968        	60266  	90282180	LACK N wll shlf 110x26 white                      	0.014618     	1          	0         	1            	634            	YES               	Collect    	2023-04-12     	08:55:09       	         	Self Serve         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	010500       	                  	Pick Up at Store                 
1352291320        	60267  	20219936	RAFFIG finials 1 pair black                       	0.000140     	2          	0         	2            	245            	YES               	Collect    	2023-04-12     	08:58:25       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M12F15       	                  	Pick Up at Store                 
1352291320        	60267  	60217228	BETYDLIG wll/clng brckt black                     	0.000257     	6          	0         	6            	5608           	YES               	Collect    	2023-04-12     	08:58:25       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M12F15       	                  	Pick Up at Store                 
1352291320        	60267  	70217157	RÄCKA curtain rod 210-385 black                   	0.001064     	2          	0         	2            	110            	YES               	Collect    	2023-04-12     	08:58:25       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M12F14       	                  	Pick Up at Store                 
1352291320        	60267  	70396917	FRIDANS blck-out rllr blnd 120x195 grey           	0.006054     	2          	0         	2            	17             	YES               	Collect    	2023-04-12     	08:58:25       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M12G18       	                  	Pick Up at Store                 
