ARTNO,popularity,Truck,Collect,Correlations
217797.0,1.0,0.0,1.0,{}
228705.0,2.0,1.0,0.0,"{'426828.0': 1.0, '50356187.0': 1.0, '30277959.0': 1.0008, '30263245.0': 1.0008, '10446883.0': 0.9999, '10357004.0': 1.0, '10486732.0': 1.0, '30246722.0': 0.9999, '40480856.0': 1.0, '60529084.0': 1.0, '214505.0': 0.9994, '20423602.0': 1.0, '90256893.0': 0.9996, '80331930.0': 1.0002, '70214564.0': 1.0, '70214559.0': 0.9996, '60442383.0': 1.0002, '10246308.0': 1.0, '60481384.0': 1.0, '10257306.0': 1.0, '70346932.0': 1.0, '40256895.0': 0.9999, '10368489.0': 0.9999}"
246417.0,1.0,1.0,0.0,"{'30214504.0': 1.0003, '50214560.0': 1.0, '70277957.0': 0.9996, '70256931.0': 0.9999, '90256893.0': 0.9996, '10246308.0': 1.0, '70246683.0': 1.0, '10257306.0': 1.0, '80410055.0': 1.0, '80214568.0': 1.0002, '30277959.0': 1.0008, '30263245.0': 1.0008, '30256891.0': 1.001, '10357004.0': 1.0, '50330606.0': 1.0}"
256944.0,1.0,0.0,1.0,"{'30211275.0': 1.0, '30263245.0': 1.0008, '324518.0': 1.0, '50183993.0': 1.0, '80515873.0': 1.0, '50277977.0': 0.9999, '40421188.0': 1.0, '20257315.0': 1.0, '40458186.0': 1.0}"
257298.0,8.0,0.375,0.0,"{'30263245.0': 63.9936, '30256891.0': 36.0048, '70277957.0': 25.0005, '90246352.0': 8.9991, '214505.0': 9.0003, '20214566.0': 9.0, '70246386.0': 4.0, '70257638.0': 4.0, '30277959.0': 3.9996, '80331930.0': 3.9996, '70214559.0': 4.0008, '70256931.0': 0.9999, '20207410.0': 1.0002, '30404028.0': 0.9999, '60533057.0': 1.0, '50308196.0': 1.0, '20484817.0': 1.0, '90529087.0': 1.0, '10333065.0': 1.0, '338412.0': 1.0, '50214560.0': 1.0, '10203610.0': 1.0, '50404032.0': 0.9999, '70534645.0': 1.0, '50518477.0': 1.0, '10446883.0': 0.9999, '60263244.0': 0.9999, '20246708.0': 0.9999, '60344735.0': 1.0, '90404822.0': 1.0, '40501892.0': 1.0, '90256893.0': 0.9996, '50518910.0': 1.0, '257302.0': 0.9999, '30275861.0': 1.0, '90429771.0': 1.0, '60442383.0': 1.0002, '70404026.0': 1.0, '90338417.0': 1.0, '70238541.0': 0.9999, '30214504.0': 1.0003}"
257302.0,3.0,0.3333333333333333,0.0,"{'60263244.0': 4.0002, '40277992.0': 1.0, '30263245.0': 1.0008, '70257638.0': 1.0, '257646.0': 1.0, '70529088.0': 1.0, '30256891.0': 1.001, '70246386.0': 1.0, '20207410.0': 1.0002, '10446557.0': 1.0, '20214566.0': 1.0, '90256893.0': 0.9996, '257298.0': 1.0, '70277957.0': 0.9996, '214505.0': 0.9994, '90246352.0': 0.9999}"
257646.0,1.0,0.0,0.0,"{'90256893.0': 0.9996, '40277992.0': 1.0, '257302.0': 0.9999}"
263850.0,1.0,1.0,0.0,{}
275674.0,1.0,1.0,0.0,"{'80215332.0': 1.0, '431151.0': 1.0, '10423886.0': 1.0, '40263848.0': 1.0, '30291658.0': 1.0, '295530.0': 1.0, '10244743.0': 1.0, '80261258.0': 1.0, '20485572.0': 1.0, '30341111.0': 1.0, '20245959.0': 1.0, '30472927.0': 1.0, '50263838.0': 1.0, '50275558.0': 1.0}"
275848.0,1.0,0.0,1.0,"{'423721.0': 1.0, '70286645.0': 1.0}"
277989.0,1.0,0.0,1.0,"{'40277992.0': 1.0, '70277957.0': 0.9996}"
280637.0,1.0,1.0,0.0,"{'50474751.0': 1.0, '50518477.0': 1.0, '70320319.0': 1.0, '50465756.0': 1.0, '40507342.0': 1.0, '40430588.0': 1.0, '80320521.0': 1.0, '20410534.0': 1.0}"
285036.0,1.0,1.0,0.0,"{'205662.0': 1.0, '20359229.0': 1.0, '10205614.0': 1.0, '30238859.0': 1.0, '30205496.0': 1.0, '10338421.0': 1.0, '70285028.0': 1.0, '212554.0': 1.0, '80213432.0': 1.0, '30212562.0': 1.0, '80205535.0': 1.0, '90285032.0': 1.0, '90205498.0': 1.0, '60335199.0': 1.0, '40205599.0': 0.9999, '20204652.0': 1.0, '30312236.0': 1.0, '10311539.0': 1.0, '80208261.0': 1.0, '50205495.0': 1.0, '70213569.0': 1.0, '90205484.0': 1.0, '70205480.0': 1.0, '10301960.0': 1.0, '10205483.0': 1.0, '60205485.0': 1.0, '80398058.0': 1.0, '205501.0': 1.0, '80524882.0': 0.9999, '10205633.0': 1.0, '50238858.0': 1.0, '30205613.0': 1.0, '40234436.0': 1.0, '20297279.0': 1.0, '60285024.0': 1.0, '30261307.0': 1.0, '80519946.0': 1.0, '50285034.0': 1.0, '40204651.0': 1.0, '4375085.0': 1.0, '205493.0': 1.0, '20285040.0': 1.0}"
295530.0,1.0,1.0,0.0,"{'431151.0': 1.0, '10423886.0': 1.0, '40263848.0': 1.0, '30291658.0': 1.0, '10244743.0': 1.0, '80261258.0': 1.0, '80215332.0': 1.0, '20485572.0': 1.0, '30341111.0': 1.0, '20245959.0': 1.0, '30472927.0': 1.0, '275674.0': 1.0, '50263838.0': 1.0, '50275558.0': 1.0}"
296313.0,1.0,1.0,0.0,"{'90245946.0': 1.0, '60295532.0': 1.0, '90294512.0': 1.0, '40348715.0': 1.0, '60293566.0': 0.9999, '60245957.0': 1.0, '70488318.0': 1.0, '80261258.0': 1.0, '70245952.0': 1.0, '40291667.0': 1.0, '40295528.0': 0.9999, '40296311.0': 1.0, '351248.0': 1.0, '40351246.0': 1.0, '60245962.0': 1.0, '40291672.0': 1.0}"
300386.0,1.0,1.0,0.0,"{'90246352.0': 0.9999, '70277957.0': 0.9996, '50214560.0': 1.0, '20527732.0': 1.0, '30256891.0': 1.001}"
307552.0,1.0,1.0,0.0,"{'10331194.0': 0.9999, '10330948.0': 1.0, '30514036.0': 1.0, '10246308.0': 1.0, '70330945.0': 0.9999, '10257306.0': 1.0, '20331198.0': 1.0, '10385926.0': 1.0, '40497828.0': 1.0, '70514039.0': 1.0, '60505511.0': 0.9999, '60331200.0': 1.0, '20524677.0': 1.0, '50497818.0': 1.0, '20334314.0': 1.0, '40331164.0': 1.0, '80331063.0': 1.0, '70331186.0': 1.0, '30263245.0': 1.0008, '330982.0': 1.0, '514033.0': 1.0, '60331059.0': 1.0}"
309235.0,1.0,1.0,0.0,{'60322130.0': 1.0}
324518.0,4.0,0.25,0.75,"{'10443974.0': 3.9996, '20257315.0': 1.0, '80460823.0': 1.0, '30324507.0': 1.0, '20449517.0': 1.0, '60300374.0': 1.0, '10264302.0': 1.0, '30211275.0': 1.0, '20514070.0': 1.0, '50277977.0': 0.9999, '40527670.0': 1.0, '40458186.0': 1.0, '50522375.0': 1.0, '50183993.0': 1.0, '20293568.0': 1.0, '20538764.0': 1.0, '490522.0': 1.0, '30263245.0': 1.0008, '40421188.0': 1.0, '256944.0': 1.0, '50324511.0': 1.0, '80515873.0': 1.0, '60466246.0': 1.0}"
330982.0,2.0,0.5,0.0,"{'40331164.0': 4.0, '10330948.0': 4.0, '70330945.0': 4.0002, '20331198.0': 4.0, '50497818.0': 1.0, '30330947.0': 1.0, '30514036.0': 1.0, '10246308.0': 1.0, '10330953.0': 1.0, '10257306.0': 1.0, '10331165.0': 1.0, '10385926.0': 1.0, '40497828.0': 1.0, '70514039.0': 1.0, '60505511.0': 0.9999, '60331200.0': 1.0, '20524677.0': 1.0, '60330984.0': 1.0, '10331194.0': 0.9999, '20334314.0': 1.0, '40452575.0': 1.0, '70331186.0': 1.0, '307552.0': 1.0, '30263245.0': 1.0008, '514033.0': 1.0, '60331059.0': 1.0, '331161.0': 1.0, '80331063.0': 1.0}"
331057.0,1.0,1.0,0.0,"{'90331166.0': 1.0, '40331055.0': 1.0, '40497828.0': 1.0, '336432.0': 1.0, '20331198.0': 1.0, '70330945.0': 0.9999, '50330951.0': 1.0, '60331200.0': 1.0, '60505511.0': 0.9999}"
331161.0,1.0,0.0,0.0,"{'40331164.0': 1.0, '10330953.0': 1.0, '30330947.0': 1.0, '10330948.0': 1.0, '70330945.0': 0.9999, '20331198.0': 1.0, '10331165.0': 1.0, '60330984.0': 1.0, '40452575.0': 1.0, '330982.0': 1.0}"
334923.0,1.0,0.0,1.0,{'40498234.0': 1.0}
336432.0,1.0,1.0,0.0,"{'331057.0': 1.0, '60505511.0': 0.9999, '60331200.0': 1.0, '50330951.0': 1.0, '90331166.0': 1.0, '40331055.0': 1.0, '40497828.0': 1.0, '20331198.0': 1.0, '70330945.0': 0.9999}"
338412.0,1.0,1.0,0.0,"{'70257638.0': 1.0, '30404028.0': 0.9999, '70246386.0': 1.0, '90529087.0': 1.0, '30214504.0': 1.0003, '70238541.0': 0.9999, '70404026.0': 1.0, '257298.0': 1.0, '70277957.0': 0.9996, '90246352.0': 0.9999, '60344735.0': 1.0, '20246708.0': 0.9999, '10446883.0': 0.9999, '30263245.0': 1.0008, '50404032.0': 0.9999, '30256891.0': 1.001, '50214560.0': 1.0, '10203610.0': 1.0}"
343003.0,1.0,0.0,1.0,"{'40458600.0': 1.0, '20476346.0': 0.9999, '90207402.0': 1.0, '80461380.0': 1.0, '10270478.0': 1.0, '70392844.0': 1.0, '461379.0': 0.9999, '80435942.0': 1.0}"
347510.0,1.0,1.0,0.0,"{'80256940.0': 1.0, '70214559.0': 0.9996, '214505.0': 0.9994, '40256942.0': 1.0, '20214566.0': 1.0, '90510945.0': 1.0}"
349849.0,1.0,0.0,0.0,{}
351248.0,1.0,1.0,0.0,"{'40291672.0': 1.0, '60245962.0': 1.0, '296313.0': 1.0, '40351246.0': 1.0, '90245946.0': 1.0, '60295532.0': 1.0, '90294512.0': 1.0, '40348715.0': 1.0, '60293566.0': 0.9999, '60245957.0': 1.0, '70488318.0': 1.0, '80261258.0': 1.0, '70245952.0': 1.0, '40291667.0': 1.0, '40295528.0': 0.9999, '40296311.0': 1.0}"
351743.0,1.0,0.0,1.0,{}
359206.0,1.0,1.0,0.0,"{'50456554.0': 1.0, '40399998.0': 1.0, '90124534.0': 0.9999, '80429408.0': 1.0, '50219893.0': 1.0, '60381898.0': 1.0, '40442195.0': 1.0, '60454026.0': 1.0, '30217135.0': 1.0, '70420936.0': 1.0, '10381909.0': 1.0, '30217159.0': 1.0, '50278726.0': 0.9999, '50486650.0': 1.0, '50498889.0': 1.0, '20219936.0': 1.0, '50359195.0': 1.0, '60217228.0': 1.0, '521948.0': 1.0}"
362746.0,1.0,1.0,0.0,"{'90160211.0': 1.0, '80362974.0': 1.0, '90446148.0': 1.0, '80436965.0': 1.0, '10331194.0': 0.9999, '20451379.0': 1.0, '10436978.0': 1.0}"
366301.0,1.0,0.0,1.0,{'40278307.0': 1.0}
371270.0,1.0,0.0,1.0,"{'50458614.0': 1.0, '80195536.0': 1.0, '90291518.0': 1.0, '60281295.0': 1.0, '80344065.0': 1.0, '50400270.0': 1.0, '30349838.0': 1.0}"
392461.0,2.0,1.0,0.0,"{'214505.0': 0.9994, '426282.0': 1.0, '30263245.0': 1.0008, '30366007.0': 1.0, '60246396.0': 0.9999, '30460811.0': 1.0, '20214566.0': 1.0, '30256891.0': 1.001, '10365928.0': 1.0, '30277959.0': 1.0008, '60365855.0': 1.0, '20207410.0': 1.0002, '30392469.0': 1.0, '50391421.0': 1.0, '10257306.0': 1.0, '80430534.0': 1.0, '30430536.0': 1.0, '70214559.0': 0.9996}"
