article,popularity
30256891,26
70277957,21
214505,19
30277959,18
30263245,18
20214566,16
70214559,12
90256893,12
40256895,11
10246308,10
90246352,9
257298,8
10257306,8
90277961,7
30214504,7
80275887,7
80331930,6
60442383,6
10443974,6
80214568,6
20207410,6
428549,6
70277981,5
70346932,5
70214564,5
473546,5
20331198,5
70246386,5
50214560,5
70246683,4
10357004,4
20201724,4
50357002,4
324518,4
80256940,4
20275814,4
80261258,4
40277992,4
20257315,4
70257638,4
40497828,4
10331194,3
50404032,3
30404028,3
70246348,3
60396121,3
40201723,3
50342237,3
80214549,3
60505511,3
20278167,3
20317079,3
90124534,3
90347351,3
40295528,3
257302,3
60293566,3
80089239,3
80429757,3
70330945,3
70238541,3
70277995,3
40211977,3
20246360,3
461379,3
10510299,3
20476346,3
10277984,3
90511105,3
10368489,3
60509142,3
50277977,3
50278726,3
30246722,3
20246708,3
40205599,3
70256931,3
60263244,3
10446883,3
20393662,3
80524882,3
60246396,3
70510300,2
60217228,2
50396094,2
20214571,2
50494141,2
10446557,2
60409294,2
60159520,2
50525642,2
50471026,2
60518486,2
70404026,2
90190524,2
473693,2
90391853,2
50458831,2
30238543,2
70534645,2
40501892,2
60403602,2
70529088,2
50518477,2
60529084,2
90066708,2
40510306,2
70286645,2
40327505,2
60534641,2
80377937,2
90309245,2
80230224,2
40507342,2
50474751,2
70532062,2
40399998,2
60185034,2
60403584,2
40460815,2
392461,2
90331166,2
50293604,2
50330951,2
40436774,2
90294512,2
90382882,2
445332,2
510308,2
10391772,2
30391766,2
30275861,2
30409295,2
40391836,2
40456286,2
40482515,2
80461380,2
40415031,2
10492455,2
20468110,2
90245946,2
90404822,2
10211276,2
80410055,2
10339171,2
90538001,2
90458914,2
452544,2
40217955,2
20519888,2
90311540,2
70292104,2
10423886,2
10244743,2
80470030,2
50213546,2
30295656,2
30219281,2
10205614,2
228705,2
50246306,2
50486650,2
330982,2
40534562,2
20219936,2
50395382,2
70331186,2
90282180,2
40331164,2
50330606,2
10330948,2
20488504,2
60331200,2
10311308,2
80094014,2
10056770,2
10203610,2
20400016,1
44881100,1
60365855,1
20320312,1
50378410,1
20341965,1
40448036,1
10378445,1
90462355,1
50391421,1
20312492,1
90279719,1
542998,1
177225,1
40498234,1
20132453,1
30388759,1
334923,1
20448834,1
30072255,1
537652,1
20508408,1
20543001,1
30213552,1
40323654,1
50424054,1
40508407,1
40508884,1
50512649,1
70213545,1
10408683,1
70466811,1
90213549,1
60518472,1
70518513,1
