order_number,articles
1350887271,"FRNIMMANpowersuppcrd3.5mGB,TRDFRIdrvrfwrlsscntrl10Wsmartgrey,VERSIDANLEDwrdlghtstrpwsensor46dimwhiUK,BRIMNESday-bdfrmw2drwrs80x200whiteN,KALLRRhandle405mmstainlesssteel2-p,VANNpcktsprmatt80x200firm/beigeGB,GOTNESfoammatt80x200firm/lightblueGB,KOMPLsoftclsnghinge3-p,KOMPLNdrawer50x58white,KOMPLmeshbskt50x58white,KOMPLsoftclsnghingefcornsect6-p,FORSANDdoor25x195white,KOMPLdrawer50x35white,KOMPLp-outrailfbskt58white2-p,KOMPLshelf50x58white,KOMPLclothesrail75white,FORSANDNdoor50x195white,PAXwrdfrm50x58x201whiteN,PAXwrdfrm75x58x201whiteN,PAXadd-oncrnrutw4shlvs53x58x201white,HEIMdoor50x195mirrorglass,KOMPLclothesrail50white"
1350895912,"PAXwrdfrm100x58x201whiteN,PAXwrdfrm50x58x201whiteN,KOMPLshelf100x58white,KOMPLclothesrail100white,KOMPLNdrawer100x58white"
1350909917,NOLMYRAeasychrblack/black
1350914521,"BRVIKENwash-basinsingle61x49x10white,SALJENwash-basinmxtpblackGB"
1352257294,"FIXANstick-onflrprots20grey,OXBERGpanel/glsdr40x192black-brown,BESTglassshelf56x16glass,MICKEdesk105x50black-brown,NORDENNNgatetbl26/89/152x80white,BESTframe60x20x64black-brown,TERJEfoldingchairwhite/KnisalightgreyGB,GLASSVIKglsdr60x64black/clearglass,EKEDALENchrwhite/RamnalightgreyGB,BILLYNNNbookcs80x28x202black-brown,BILLYNNNbookcs40x28x202white,OXBERGpanel/glsdr40x192white,VITTSJnesttabless290x50black-brown/glass,BESTsoftclsng/push-openhinge2-p,MULLFJLLETconfchairwcastorsNaggendgreyGB"
1352257303,"BESTbox25x31x15grey,KUGGISboxwlid18x26x15transparentblack,BROGRUNDNhookstainlesssteel2-p,KUGGISboxwlid18x26x8transparentblack,KUGGISboxwlid26x35x15transparentblack,HJLPAp-outrailfbskt55white2-p,FONNESdrawerfrt80x20white,BILLSBROhandle40mmwhite2-p,HJLPAadjclthsrail60-100white,STRAUMENNmirrordoor40x180mirrorglass,FONNESdoor40x120white,HJLPAstandardhinges1-p,HJLPAsusprail55white2-p,FONNESdoor40x40white,HJLPAdrwrwithoutfront80x55white,KOMPLNdrawer50x58white,KOMPLmeshbskt50x58white,PLATSAframe80x55x40white,LTTHETlegadjustablewhite4-p,KOMPLp-outrailfbskt58white2-p,HJLPAshelf80x55white,PLATSAframe80x55x180white,HJLPAwrebskt80x55white"
1352257309,"VALLENSVEDdoormatin40x60natural,SOCKERBITstorboxwlid38x51x30grey-green,NIMMstorboxwlid32x30x30grey-green,STUKstorcase34x51x28lightgrey-green,FISKBOframe50x70white,PILLEMARKdoormatin50x90rainbow,KALLAXNshelvingunit77x147whstoakeff,OLOVlegadjustablewhite,KLEPPSTADshelf76x50white,INLGGconnfitt2-p,LAGKAPTENtbltp140x60whitestainedoakeffect"
1352257835,"KNALLANbag40x25x47cm/47lblack/white,MURVELshoeorg14x14x24grey,SKOSTALLshoeorg11x19x27black"
1352266343,MLANeaselsoftwood
1352266489,"KOMPLsoftclsnghinge3-p,KOMPLmeshbskt100x58white,PAXwrdfrm100x58x201whiteN,KOMPLclothesrail100white,KOMPLp-outrailfbskt58white2-p,KOMPLshelf50x58white,PAXwrdfrm50x58x201whiteN,KOMPLshelf100x58white,HEIMdoor50x195mirrorglass,KOMPLclothesrail50white,BRUNSTApendlampshade20black,TRUBBNATEpendlampshade38white,MUSKOTplantpot12white,SOLHETTAE27470lmglobeopalwhi2-pUK,PLUGGLANDhangerfdoor,SVARTSENAPtable-runner35x130green-blue,KOMPLvalethngr17x5white,SCKKRRAstorcase55x49x19off-white/green,YLLEVADframe13x18black"
1352266671,"ENSTAKAscnttealt3.5hrBonfire/grey30-p,TILLVAROunscntdtealt100-p,STRTSKNscnttealt3.5hrBerries/red30-p,MLAwhitebrdpenmixedcolours4-p,HEDERSAMscnttealt3.5hrFreshgrass/lgrn30-p,MLAwhiteboardpenwhldr/erasermixcol4-p,LNSSmirror21x30,ISTADresealablebagpatterned/blackyellow60-p,BOLMENtoilbrshhldrblack,IKEA365+foodcntnr750mlsquare/plastic3-p,MLANchalksmixedcolours9-p,BUMERANGhangerwhite,MLAfelt-tippenmixedcolours24-p,YLLEVADframe21x30white,KALLAXinsertwdoor33x33white,KALLAXufrm146x39x18white,KALLAXNNinsertw2drw33x33white,TROFASTNstorbox42x30x10white,KALLAXshelvingunit77x147white,TROFASTstorbox42x30x23white"
1352266938,STOENSEruglowpile200x300mediumgrey
1352274734,HAUGAchest/3drw70x84grey
1352275893,KALLAXshelvingunit77x147white
1352276101,"SMHAGEL3-prtUSBchrgrwhiteGB,SOCKERBITboxwlid38x51x30pink,SKRUVBYbookcs60x140white"
1352276423,"BAGISNcoat-hangerchildmixedcolours8-p,LAPPMEShandle112mmbirch2-p,HJLPAadjclthsrail60-100white,SMSTADtopfstormodule60x55white,HJLPAsusprail55white2-p,HJLPAsoftclsnghinge1-p,PLATSAframe60x55x60white,LTTHETlegadjustablewhite4-p,SMSTADdoor30x90white2-p,KONSTRUERAdrwrwithoutfront30x60white,PLATSAframe60x55x180white,SMSTADdrawerfrt60x30white,HJLPAshelf60x55white"
1352276857,GUNDEfoldingchairblack
1352277347,"ALEXdrawerut36x70white,LAGKAPTENtbltp140x60white"
1352277404,"SKUBBNboxs6white,MALMNchest/6drw160x78whiteN"
1352277456,"TRENSUMNmirrorstlsstl,SKUBBboxs6darkgrey,INGABRITTAthrow130x170lightgrey,LENNARTdrawerutwhite,TROTTENtbltp120x70white,TROTTENufrmsi/stftbltp120/160white"
1352277571,"SONGESANDchest/6drw161x81white,SONGESANDwardrobe120x60x191white"
1352277623,"RIBBANNframe30x40black,PRICKIGmicrowavelid26grey"
1352277927,"KALLAXshelvingunit77x147white,SONGESANDwardrobe120x60x191white,SONGESANDchest/6drw82x126white"
1352283493,"BESTsoftclsng/push-openhinge2-p,HJLPAsoftclsnghinge1-p,KOMPLshelf50x58white,PAXwrdfrm75x35x201whitestainedoakeffect,KOMPLdrwrwglssfrnt50x58white,KOMPLdrawer75x35wsoeff"
1352283891,MILSBOgls-drcb73x175white
1352284309,"RAMSHULTbracket18x22darkgrey,BERGSHULTshelf120x30darkgrey"
1352284454,"SPRUTTIGhangerblack10-p,KLEPPSTADwrd3d117x176white,KULLENNchest/2drw35x49white"
1352284786,"KALLAXshelvingunit42x147white,KALLAXinsertwmirrordr33x33,KALLAXNNinsertw2drw33x33white"
1352284789,"GULLBERGScshncvrin/out50x50multicolour,INNERNcushpad50x50white/softGB,NMMARseatsecfmodsofaoutlbrwnstnd,TVARseatsecfmodsofaoutbrown,TOSTERcvrfoutdfrntr220x220sofa/black,JRPNcvrseatcshn62x62outdoorwhiteGB"
1352284840,MOSSLANDApictureledge115black
1352285270,"HJLPAp-outrailfbskt55white2-p,KOMPLNdrawer100x58wsoeff,HJLPAwrebskt80x55white"
1352288033,"MULIGclothesbar60-90white,BRUSALINshoecab3comp61x30x130white,KOPPANGchest/6drw172x83white,KOPPANGNNchest/3drw90x83white"
1352288036,KALLAXshelvingunit77x147white
1352288424,"KINNAHULTtablelamp37blackash/blackGB,HUMLEMOTTthrow130x170off-white,FRSEGLAcoaster9bamboo2-p,SOLHETTAE14470lmglobeopalwhi2-pUK,PANNNNplacemat37darkblue,JTTEVALLMOdc/2pwc200x200/50x80yellow/white,IVRIGglass45clclearglass,VGSJNbthsheet100x150darkgrey,FEJKAartpttdplntwpot6in/outwhi/green,LACKsidetbl35x35white"
1352288595,NATTSMYGfoammattfextbed80x200GB
1352289763,"BJRKSTAframe200x140aluminium-colour,BJRKSTApict200x140shoreinthedawn,BJRKSTApict78x118sunstreaks,BJRKSTAframe78x118aluminium-colour"
1352290339,"FEJKAartplant26x26wllmount/in/outgreen,SKUBBstorcase93x55x19darkgrey,LYCKSELEcvrfsb2KnisalightgreyGB,LYCKSELEcvrfchr-bedVansbrodarkgreyGB"
1352290442,"UPPSNOFSADlid35x25black1-p,GLIMMAunscntdtealt50-p,UPPSNOFSADstorbox25x17x12cm/4lblack,UPPSNOFSADstorbox35x25x14cm/9lblack,GLISboxwithlid17x10yellow/blue3-p"
