ISELL_ORDER_NUMBER,PICK_ID,ARTNO,ARTNAME_UNICODE,ORDER_TYPE,PICK_AREA
1352295253,60273,309235,KULLENNchest/6drw140x72black-brown,Truck,SelfServe
1352295253,60273,60322130,KULLENNchest/2drw35x49black-brown,Truck,SelfServe
1352296121,60276,20317079,SPRUTTIGhangerblack10-p,Truck,Markethall
1352295316,60274,40469302,TJENANstorboxwlid32x35x32white,Collect,Markethall
1352296367,60275,324518,KALLAXNshelvingunit77x147whstoakeff,Collect,SelfServe
1352296367,60275,10443974,DRNANbox33x38x33darkgrey,Collect,SelfServe
1352296121,60277,40497828,HJLPAadjclthsrail60-100white,Truck,SelfServe
1352296121,60277,60282186,LACKNwllshlfut30x190white,Truck,SelfServe
1352296121,60277,90309245,KULLENNchest/6drw140x72white,Truck,SelfServe
1352298875,60281,30263844,BILLYNNNbookcs80x28x106white,Collect,SelfServe
1352296121,60278,60214569,PAXwrdfrm50x35x201whiteN,Truck,FullServeinternal
1352298535,60280,70521539,HASVIKNNNsliddoorspair200x201white,Collect,FullServeinternal
1352296515,60279,90392046,BRIMNESNchest/4drw78x124white/frostedglass,Collect,SelfServe
1352296139,60282,20403562,MALMNchest/3drw80x78whiteN,PUP,SelfServe
1352296139,60282,80214549,MALMchest/2drw40x55whiteN,PUP,SelfServe
1352300974,60283,553232,KORSNINGrugflatwin/out80x150greenpu/striped,Collect,Markethall
1352300974,60283,30553235,KORSNINGrugflatwin/out80x250greenpu/striped,Collect,Markethall
1352300974,60283,70238541,BUMERANGhangerwhite,Collect,Markethall
1352300974,60283,70512648,TOLKNINGhangbasketjute,Collect,Markethall
1352300974,60284,70277957,KOMPLshelf100x58white,Collect,FullServeinternal
1345367041,60288,60185034,EKTORPNNNfrmso2GB,Customer,FullServeinternal
1345367041,60288,60503569,EKTORPcvrfso2HallarpgreyGB,Customer,FullServeinternal
1352300939,60285,50357002,KALLRRhandle213mmstainlesssteel2-p,Truck,SelfServe
